ItemNo,Product Code,Product Name, Retail ,Barcode,Type,Alc.,Unit,Size,Type,Size,Type,Type(Eng),Occasion,Occasion_List,,,
1,SPW01-VFT,Villafresno Tinto, 450.00 ,885 92732 0000 4,Red,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,ไวน์,Wine
2,SPW01-VFB,Villafresno Blanco, 450.00 ,885 92732 0001 1,White,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,ไวน์ขาว,WhiteWine
3,SPW01-VFS,Villafresno Rosado, 450.00 ,885 92732 0002 8,Rose,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,ไวน์แดง,RedWine
4,SPW01-IRE,Irene , 465.00 ,885 92732 0007 3,Sparkling,11.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,กรัปป้า,Grappa
5,SPW01-SLR,Solero Sangria , 410.00 ,885 92732 0003 5,Sangria,7.0%,Bottle,1000,ml,1000 มิล.,สุราแช่ (แซงเกรีย),Sangria,011111,Birthday Casual Celebration Dinner ,,ไวน์ข้าว,RiceWine
6,SPW02-SOT,Sonsierra Seleccion Tinto, 720.00 ,885 92732 0084 4,Red,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,สุราแช่ (แซงเกรีย),Sangria
7,SPW02-SOW,Sonsierra Seleccion Blanco, 720.00 ,885 92732 0085 1,White,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,บรั่นดี,Brandy
8,SPW02-SOS,Sonsierra Seleccion Rose, 720.00 ,885 92732 0086 8,Rose,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,011000,Birthday Casual ,,สปาร์คกลิ้ง,Sparkling
9,SPW02-ANDRO,Sonsierra Androsela (Sweet), 730.00 ,885 92732 0087 5,Semi-Sweet,10.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,111001,Anniversary Birthday Casual ,,ไซเดอร์,Cider
10,SPW02-SOC,Sonsierra Crianza, 890.00 ,885 92732 0088 2,Red,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110011,Anniversary Birthday Dinner ,,เบียร์,Beer
11,SPW02-CSE,Sonsierra Crianza Selected Harvest, 930.00 ,885 92732 0089 9,Red,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
12,SPW02-SOR,Sonsierra Reserva, 960.00 ,885 92732 0090 5,Red,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,111011,Anniversary Birthday Casual Dinner ,,,
13,SPW02-WTEM,Sonsierra White Tempranillo, 750.00 ,885 92732 0091 2,White,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
14,SPW02-WTEM2,Sonsierra White (Barrel), 960.00 ,885 92732 0092 9,White,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110101,Anniversary Birthday Celebration ,,,
15,SPW02-PAGOS,Pagos Sonsierra (Reserva)," 2,120.00 ",885 92732 0093 6,Red,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
16,SPW02-PERFUME,Perfume de la Sonsierra," 3,400.00 ",885 92732 0094 3,Red,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110101,Anniversary Birthday Celebration ,,,
17,SPW02-SOG,Sonsierra Gran Reserva," 2,750.00 ",885 92732 0095 0,Red,12.1%,Bottle,750,ml,750 มิล.,ไวน์,Wine,111001,Anniversary Birthday Casual ,,,
18,SPW02-VIURA,Sonsierra Viura," 2,500.00 ",885 92732 0096 7,White,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001000,Casual ,,,
19,ITLW01-CBN,Cabernet," 1,450.00 ",885 92732 0140 7,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110011,Anniversary Birthday Dinner ,,,
20,ITLW01-SBN,Sibane Piemonte DOC," 1,450.00 ",885 92732 0139 1,Red,15.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110011,Anniversary Birthday Dinner ,,,
21,ITLW01-STLC,Santa Lucrezia - Cisterna d'Asti DOC Superiore," 1,790.00 ",885 92732 0008 0,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,111111,Anniversary Birthday Casual Celebration Dinner ,,,
22,ITLW01-TUM,Tumlin Roero DOCG," 1,470.00 ",885 92732 0043 1,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,111111,Anniversary Birthday Casual Celebration Dinner ,,,
23,ITLW01-GARA,Garavagna Barbera d'Alba DOC Superiore," 1,250.00 ",885 92732 0107 0,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,010010,Birthday Dinner ,,,
24,ITLW01-MABAR,Marida - Barbera d'Asti DOCG, 920.00 ,885 92732 0009 7,Red,13.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,010010,Birthday Dinner ,,,
25,ITLW01-DIANE,Diane Barbera d'Asti DOCG (no added sulphites), 920.00 ,885 92732 0108 7,Red,14.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,010010,Birthday Dinner ,,,
26,ITLW01-BAR,Barbera d'Asti DOCG, 790.00 ,885 92732 0010 3,Red,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
27,ITLW01-MONDOL,Monferrato Dolcetto DOC, 750.00 ,885 92732 0011 0,Red,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
28,ITLW01-TDCRA,Terre del Conte - Roero Arneis DOCG, 920.00 ,885 92732 0012 7,White,13.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
29,ITLW01-TDLAR,Terre del Larame Langhe Favorita DOC, 880.00 ,885 92732 0042 4,White,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
30,ITLW01-PIMCH,Piemonte Chardonnay DOC, 750.00 ,885 92732 0013 4,White,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
31,ITLW01-MOSSE,Moscato d'Asti DOCG sweet semi-sparkling, 790.00 ,885 92732 0014 1,Semi-Sparkling,5.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
32,ITLW01-BELV,Belvive Spumante Brut, 790.00 ,885 92732 0109 4,Sparkling - Dry,11.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
33,ITLW01-MOSPU,Moscato Spumante, 780.00 ,885 92732 0015 8,Sparkling - Sweet,6.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
34,ITLW01-MALVA,Malvasia Spumante, 780.00 ,885 92732 0044 8,Sparkling - Rose,6.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
35,ITLW01-VILLA,Villarita - Brut Spumante, 880.00 ,885 92732 0016 5,Sparkling - Dry,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
36,ITLW01-TRAR,Tralcio Rosso, 550.00 ,885 92732 0017 2,Red,12.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
37,ITLW01-TRAW,Tralcio Bianco, 550.00 ,885 92732 0018 9,White,11.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,001010,Casual Dinner ,,,
38,ITLW01-MOSUVA,Mosto d'Uva, 780.00 ,885 92732 0019 6,Semi-Sparkling,4.5%,Bottle,750,ml,750 มิล.,ไวน์,Wine,110111,Anniversary Birthday Celebration Dinner ,,,
39,ITLW01-GRAN,Gran Rue Metodo Classico," 1,550.00 ",885 92732 0110 0,Sparkling - Dry,12.0%,Bottle,750,ml,750 มิล.,ไวน์,Wine,100011,Anniversary Dinner ,,,
40,ITLW01-GPA,Grappa di Arneis," 1,550.00 ",885 92732 0040 0,Brandy,40.0%,Bottle,700,ml,700 มิล.,บรั่นดี,Brandy,110110,Anniversary Birthday Celebration Dinner ,,,
